RFID,SIZE,TYPE,BORN_DATE
1,35,Recycle,10/7/2012
2,35,Recycle,10/7/2012
3,35,Recycle,10/7/2012
4,35,Recycle,10/7/2012
5,35,Recycle,10/7/2012
6,35,Recycle,10/7/2012
7,35,Recycle,10/7/2012
8,35,Recycle,10/7/2012
9,35,Recycle,10/7/2012
10,35,Recycle,10/7/2012
11,35,Recycle,10/7/2012
12,35,Recycle,10/7/2012
13,35,Recycle,10/7/2012
14,35,Recycle,10/7/2012
15,35,Recycle,10/7/2012
16,35,Recycle,10/7/2012
17,35,Recycle,10/7/2012
18,35,Recycle,10/7/2012
19,35,Recycle,10/7/2012
20,35,Recycle,10/7/2012
21,35,Recycle,10/7/2012
22,35,Recycle,10/7/2012
23,35,Recycle,10/7/2012
24,35,Recycle,10/7/2012
25,35,Recycle,10/7/2012
26,35,Recycle,10/7/2012
27,35,Recycle,10/7/2012
28,35,Recycle,10/7/2012
29,35,Recycle,10/7/2012
30,35,Recycle,10/7/2012
31,35,Recycle,10/7/2012
32,35,Recycle,10/7/2012
33,35,Recycle,10/7/2012
34,35,Recycle,10/7/2012
35,35,Recycle,10/7/2012
36,35,Recycle,10/7/2012
37,35,Recycle,10/7/2012
38,35,Recycle,10/7/2012
39,35,Recycle,10/7/2012
40,35,Recycle,10/7/2012
41,35,Recycle,10/7/2012
42,35,Recycle,10/7/2012
43,35,Recycle,10/7/2012
44,35,Recycle,10/7/2012
45,35,Recycle,10/7/2012
46,35,Recycle,10/7/2012
47,35,Recycle,10/7/2012
48,35,Recycle,10/7/2012
49,35,Recycle,10/7/2012
50,35,Recycle,10/7/2012
51,35,Recycle,10/7/2012
52,35,Recycle,10/7/2012
53,35,Recycle,10/7/2012
54,35,Recycle,10/7/2012
55,35,Recycle,10/7/2012
56,35,Recycle,10/7/2012
57,35,Recycle,10/7/2012
58,35,Recycle,10/7/2012
59,35,Recycle,10/7/2012
60,35,Recycle,10/7/2012
61,35,Recycle,10/7/2012
62,35,Recycle,10/7/2012
63,35,Recycle,10/7/2012
64,35,Recycle,10/7/2012
65,35,Recycle,10/7/2012
66,35,Recycle,10/7/2012
67,35,Recycle,10/7/2012
68,35,Recycle,10/7/2012
69,35,Recycle,10/7/2012
70,35,Recycle,10/7/2012
71,35,Recycle,10/7/2012
72,35,Recycle,10/7/2012
73,35,Recycle,10/7/2012
74,35,Recycle,10/7/2012
75,35,Recycle,10/7/2012
76,35,Recycle,10/7/2012
77,35,Recycle,10/7/2012
78,35,Recycle,10/7/2012
79,35,Recycle,10/7/2012
80,35,Recycle,10/7/2012
81,35,Recycle,10/7/2012
82,35,Recycle,10/7/2012
83,35,Recycle,10/7/2012
84,35,Recycle,10/7/2012
85,35,Recycle,10/7/2012
86,35,Recycle,10/7/2012
87,35,Recycle,10/7/2012
88,35,Recycle,10/7/2012
89,35,Recycle,10/7/2012
90,35,Recycle,10/7/2012
91,35,Recycle,10/7/2012
92,35,Recycle,10/7/2012
93,35,Recycle,10/7/2012
94,35,Recycle,10/7/2012
95,35,Recycle,10/7/2012
96,35,Recycle,10/7/2012
97,35,Recycle,10/7/2012
98,35,Recycle,10/7/2012
99,35,Recycle,10/7/2012
100,35,Recycle,10/7/2012
101,35,Recycle,10/7/2012
102,35,Recycle,10/7/2012
103,35,Recycle,10/7/2012
104,35,Recycle,10/7/2012
105,35,Recycle,10/7/2012
106,35,Recycle,10/7/2012
107,35,Recycle,10/7/2012
108,35,Recycle,10/7/2012
109,35,Recycle,10/7/2012
110,35,Recycle,10/7/2012
111,35,Recycle,10/7/2012
112,35,Recycle,10/7/2012
113,35,Recycle,10/7/2012
114,35,Recycle,10/7/2012
115,35,Recycle,10/7/2012
116,35,Recycle,10/7/2012
117,35,Recycle,10/7/2012
118,35,Recycle,10/7/2012
119,35,Recycle,10/7/2012
120,35,Recycle,10/7/2012
121,35,Recycle,10/7/2012
122,35,Recycle,10/7/2012
123,35,Recycle,10/7/2012
124,35,Recycle,10/7/2012
125,35,Recycle,10/7/2012
126,35,Recycle,10/7/2012
127,35,Recycle,10/7/2012
128,35,Recycle,10/7/2012
129,35,Recycle,10/7/2012
130,35,Recycle,10/7/2012
131,35,Recycle,10/7/2012
132,35,Recycle,10/7/2012
133,35,Recycle,10/7/2012
134,35,Recycle,10/7/2012
135,35,Recycle,10/7/2012
136,35,Recycle,10/7/2012
137,35,Recycle,10/7/2012
138,35,Recycle,10/7/2012
139,35,Recycle,10/7/2012
140,35,Recycle,10/7/2012
141,35,Recycle,10/7/2012
142,35,Recycle,10/7/2012
143,35,Recycle,10/7/2012
144,35,Recycle,10/7/2012
145,35,Recycle,10/7/2012
146,35,Recycle,10/7/2012
147,35,Recycle,10/7/2012
148,35,Recycle,10/7/2012
149,35,Recycle,10/7/2012
150,35,Recycle,10/7/2012
151,35,Recycle,10/7/2012
152,35,Recycle,10/7/2012
153,35,Recycle,10/7/2012
154,35,Recycle,10/7/2012
155,35,Recycle,10/7/2012
156,35,Recycle,10/7/2012
157,35,Recycle,10/7/2012
158,35,Recycle,10/7/2012
159,35,Recycle,10/7/2012
160,35,Recycle,10/7/2012
161,35,Recycle,10/7/2012
