RFID,SERIAL,SIZE,CartType,BORN_DATE
130225122243000213090550,0213090550,96,Recycle,2/25/2013 12:23
130225122038000213090549,0213090549,96,Recycle,2/25/2013 12:21
130225121906000213090548,0213090548,96,Recycle,2/25/2013 12:20
130225121721000213090547,0213090547,96,Recycle,2/25/2013 12:18
130225121753000213606069,0213606069,96,Recycle,2/25/2013 12:18
130225121720000213606068,0213606068,96,Recycle,2/25/2013 12:17
130225121648000213606067,0213606067,96,Recycle,2/25/2013 12:17
130225121558000213090546,0213090546,96,Recycle,2/25/2013 12:17
130225121616000213606066,0213606066,96,Recycle,2/25/2013 12:16
130225121545000213606065,0213606065,96,Recycle,2/25/2013 12:16
130225121508000213606064,0213606064,96,Recycle,2/25/2013 12:15
130225121441000213090545,0213090545,96,Recycle,2/25/2013 12:15
130225121419000213606063,0213606063,96,Recycle,2/25/2013 12:15
130225121348000213606062,0213606062,96,Recycle,2/25/2013 12:14
130225121317000213606061,0213606061,96,Recycle,2/25/2013 12:13
130225121154000213090544,0213090544,96,Recycle,2/25/2013 12:12
130225121035000213090543,0213090543,96,Recycle,2/25/2013 12:11
130225120904000213090542,0213090542,96,Recycle,2/25/2013 12:10
130225120746000213090539,0213090539,96,Recycle,2/25/2013 12:09
130225120632000213090538,0213090538,96,Recycle,2/25/2013 12:07
130225120527000213090537,0213090537,96,Recycle,2/25/2013 12:06
130225120135000213090535,0213090535,96,Recycle,2/25/2013 12:03
130225120244000213605974,0213605974,96,Recycle,2/25/2013 12:03
130225120206000213606060,0213606060,96,Recycle,2/25/2013 12:02
130225120134000213606059,0213606059,96,Recycle,2/25/2013 12:02
130225120059000213606058,0213606058,96,Recycle,2/25/2013 12:01
130225115948000213090536,0213090536,96,Recycle,2/25/2013 12:01
130225120022000213606057,0213606057,96,Recycle,2/25/2013 12:00
130225115948000213606056,0213606056,96,Recycle,2/25/2013 12:00
130225115842000213606055,0213606055,96,Recycle,2/25/2013 11:59
130225115801000213090534,0213090534,96,Recycle,2/25/2013 11:59
130225115811000213606054,0213606054,96,Recycle,2/25/2013 11:58
130225115746000213606053,0213606053,96,Recycle,2/25/2013 11:58
130225115335000213090533,0213090533,96,Recycle,2/25/2013 11:54
130225115156000213090532,0213090532,96,Recycle,2/25/2013 11:53
130225115040000213090531,0213090531,96,Recycle,2/25/2013 11:51
130225114909000213090530,0213090530,96,Recycle,2/25/2013 11:50
130225114846000213606051,0213606051,96,Recycle,2/25/2013 11:49
130225114817000213606050,0213606050,96,Recycle,2/25/2013 11:48
130225114729000213090529,0213090529,96,Recycle,2/25/2013 11:48
130225114744000213606049,0213606049,96,Recycle,2/25/2013 11:48
130225114713000213606048,0213606048,96,Recycle,2/25/2013 11:47
130225114614000213090528,0213090528,96,Recycle,2/25/2013 11:47
130225114637000213606052,0213606052,96,Recycle,2/25/2013 11:47
130225114603000213606047,0213606047,96,Recycle,2/25/2013 11:46
130225114508000213606046,0213606046,96,Recycle,2/25/2013 11:46
130225114416000213090527,0213090527,96,Recycle,2/25/2013 11:45
130225114438000213606045,0213606045,96,Recycle,2/25/2013 11:45
130225114411000213606044,0213606044,96,Recycle,2/25/2013 11:44
130225114300000213090526,0213090526,96,Recycle,2/25/2013 11:43
130225114017000213090524,0213090524,96,Recycle,2/25/2013 11:41
130225113020000213606043,0213606043,96,Recycle,2/25/2013 11:30
130225112948000213606042,0213606042,96,Recycle,2/25/2013 11:30
130225112919000213606041,0213606041,96,Recycle,2/25/2013 11:29
130225112644000213606038,0213606038,96,Recycle,2/25/2013 11:29
130225112510000213606040,0213606040,96,Recycle,2/25/2013 11:26
130225112410000213606039,0213606039,96,Recycle,2/25/2013 11:24
130225112242000213606037,0213606037,96,Recycle,2/25/2013 11:24
130225112209000213606036,0213606036,96,Recycle,2/25/2013 11:22
130225112112000213606035,0213606035,96,Recycle,2/25/2013 11:21
130225111243000213606034,0213606034,96,Recycle,2/25/2013 11:13
130225111049000213606033,0213606033,96,Recycle,2/25/2013 11:11
130225110918000213606032,0213606032,96,Recycle,2/25/2013 11:09
130225110723000213606031,0213606031,96,Recycle,2/25/2013 11:07
130225110632000213606030,0213606030,96,Recycle,2/25/2013 11:07
130225110558000213606029,0213606029,96,Recycle,2/25/2013 11:06
130225110456000213606028,0213606028,96,Recycle,2/25/2013 11:05
130225110423000213606027,0213606027,96,Recycle,2/25/2013 11:04
130225110349000213606026,0213606026,96,Recycle,2/25/2013 11:04
130225105642000213606025,0213606025,96,Recycle,2/25/2013 10:57
130225105504000213606024,0213606024,96,Recycle,2/25/2013 10:55
130225105404000213606023,0213606023,96,Recycle,2/25/2013 10:54
130225105331000213606022,0213606022,96,Recycle,2/25/2013 10:54
130225105257000213606021,0213606021,96,Recycle,2/25/2013 10:53
130225105224000213606020,0213606020,96,Recycle,2/25/2013 10:52
130225105136000213606019,0213606019,96,Recycle,2/25/2013 10:52
130225105106000213606018,0213606018,96,Recycle,2/25/2013 10:51
130225105037000213606017,0213606017,96,Recycle,2/25/2013 10:50
130225104057000213606016,0213606016,96,Recycle,2/25/2013 10:41
130225103920000213606015,0213606015,96,Recycle,2/25/2013 10:39
130225103826000213606014,0213606014,96,Recycle,2/25/2013 10:38
130225103606000213606013,0213606013,96,Recycle,2/25/2013 10:36
130225103531000213606012,0213606012,96,Recycle,2/25/2013 10:36
130225103457000213606011,0213606011,96,Recycle,2/25/2013 10:35
130225103412000213606010,0213606010,96,Recycle,2/25/2013 10:34
130225103340000213606009,0213606009,96,Recycle,2/25/2013 10:34
130225103321000213606008,0213606008,96,Recycle,2/25/2013 10:33
130225102614000213606007,0213606007,96,Recycle,2/25/2013 10:26
130225102540000213606006,0213606006,96,Recycle,2/25/2013 10:26
130225102511000213606005,0213606005,96,Recycle,2/25/2013 10:25
130225102438000213606004,0213606004,96,Recycle,2/25/2013 10:25
130225102401000213606003,0213606003,96,Recycle,2/25/2013 10:24
130225102331000213606002,0213606002,96,Recycle,2/25/2013 10:24
