RFID,SERIAL,SIZE,TYPE,BORN_DATE
120620224914006512051317,6512051317,64,Refuse,10/7/2012
120620102729006512050946,6512050946,64,Refuse,10/8/2012
120620102832006512050947,6512050947,64,Refuse,10/9/2012
120620103519006512050951,6512050951,64,Refuse,10/10/2012
120620103016006512050948,6512050948,64,Refuse,10/11/2012
120620225540006512051321,6512051321,64,Refuse,10/12/2012
120620103841006512050953,6512050953,64,Refuse,10/13/2012
120620104033006512050954,6512050954,64,Refuse,10/14/2012
120620225038006512051318,6512051318,64,Refuse,10/15/2012
120620103341006512050950,6512050950,64,Refuse,10/16/2012
120620230122006512051322,6512051322,64,Refuse,10/17/2012
120620225405006512051320,6512051320,64,Refuse,10/18/2012
120620225233006512051319,6512051319,64,Refuse,10/19/2012
120524190715006412005769,6412005769,64,Refuse,10/20/2012
120524190513006412005768,6412005768,64,Refuse,10/21/2012
120524174021006412005725,6412005725,64,Refuse,10/22/2012
111610132556006410004584,6410004584,64,Refuse,10/23/2012
111610121059006410004533,6410004533,64,Refuse,10/24/2012
120524190411006412005767,6412005767,64,Refuse,10/25/2012
120902035622009512016266,9512016266,96,Refuse,10/26/2012
120901151845009512015847,9512015847,96,Refuse,10/27/2012
120901205844009512016043,9512016043,96,Refuse,10/28/2012
120901210158009512016045,9512016045,96,Refuse,10/29/2012
120901221308009512016085,9512016085,96,Refuse,10/30/2012
120901152300009512015849,9512015849,96,Refuse,10/31/2012
120901205944009512016044,9512016044,96,Refuse,11/1/2012
120901151740009512015846,9512015846,96,Refuse,11/2/2012
120811175458006412008352,6412008352,64,Other,7/11/2004
120805192358006412006430,6412006430,64,Other,7/11/2004
120811190801006412008396,6412008396,64,Other,7/11/2004
120820222205006412009089,6412009089,64,Other,7/11/2004
120811114454006412008131,6412008131,64,Other,7/11/2004
120821005605006412009172,6412009172,64,Other,7/11/2004
120811035111006412007851,6412007851,64,Other,7/11/2004
120821002214006412009152,6412009152,64,Other,7/11/2004
120924233020000003130378,0003130378,35,Other,7/11/2004
120811114128006412008129,6412008129,64,Other,7/11/2004
120811063019006412007946,6412007946,64,Other,7/11/2004
120821005304006412009170,6412009170,64,Other,7/11/2004
120811063145006412007947,6412007947,64,Other,7/11/2004
120811134213006412008201,6412008201,64,Other,7/11/2004
120811174612006412008347,6412008347,64,Other,7/11/2004
120820190502006412008987,6412008987,64,Other,7/11/2004
120820190353006412008986,6412008986,64,Other,7/11/2004
120820193201006412008996,6412008996,64,Other,7/11/2004
120811034514006412007848,6412007848,64,Other,7/11/2004
120811060625006412007932,6412007932,64,Other,7/11/2004
120811042025006412007869,6412007869,64,Other,7/11/2004
120811055845006412007928,6412007928,64,Other,7/11/2004
120811053156006412007912,6412007912,64,Other,7/11/2004
120811190117006412008392,6412008392,64,Other,7/11/2004
